time_s,pos_x_m,pos_y_m,alt_z_m,vel_x_mps,vel_y_mps,vel_z_mps
2.4000,42.0146,0.0000,140.1473,36.2802,0.0000,0.0000
2.4100,42.3781,0.0000,141.2448,36.4248,0.0000,0.0000
2.4200,42.7431,0.0000,142.3457,36.5691,0.0000,0.0000
2.4300,43.1095,0.0000,143.4499,36.7130,0.0000,0.0000
2.4400,43.4774,0.0000,144.5575,36.8567,0.0000,0.0000
2.4500,43.8466,0.0000,145.6685,37.0001,0.0000,0.0000
2.4600,44.2174,0.0000,146.7827,37.1432,0.0000,0.0000
2.4700,44.5895,0.0000,147.9003,37.2859,0.0000,0.0000
2.4800,44.9631,0.0000,149.0211,37.4284,0.0000,0.0000
2.4900,45.3381,0.0000,150.1453,37.5705,0.0000,0.0000
2.5000,45.7145,0.0000,151.2727,37.7124,0.0000,0.0000
2.5100,46.0923,0.0000,152.4034,37.8539,0.0000,0.0000
2.5200,46.4716,0.0000,153.5374,37.9951,0.0000,0.0000
2.5300,46.8522,0.0000,154.6745,38.1360,0.0000,0.0000
2.5400,47.2343,0.0000,155.8149,38.2766,0.0000,0.0000
2.5500,47.6178,0.0000,156.9585,38.4169,0.0000,0.0000
2.5600,48.0026,0.0000,158.1053,38.5568,0.0000,0.0000
2.5700,48.3889,0.0000,159.2553,38.6965,0.0000,0.0000
2.5800,48.7766,0.0000,160.4085,38.8358,0.0000,0.0000
2.5900,49.1656,0.0000,161.5648,38.9748,0.0000,0.0000
2.6000,49.5561,0.0000,162.7242,39.1135,0.0000,0.0000
2.6100,49.9479,0.0000,163.8868,39.2518,0.0000,0.0000
2.6200,50.3411,0.0000,165.0525,39.3899,0.0000,0.0000
2.6300,50.7357,0.0000,166.2213,39.5276,0.0000,0.0000
2.6400,51.1316,0.0000,167.3932,39.6650,0.0000,0.0000
2.6500,51.5290,0.0000,168.5682,39.8021,0.0000,0.0000
2.6600,51.9277,0.0000,169.7462,39.9388,0.0000,0.0000
2.6700,52.3277,0.0000,170.9273,40.0753,0.0000,0.0000
2.6800,52.7292,0.0000,172.1115,40.2114,0.0000,0.0000
2.6900,53.1320,0.0000,173.2987,40.3471,0.0000,0.0000
2.7000,53.5361,0.0000,174.4888,40.4826,0.0000,0.0000
2.7100,53.9416,0.0000,175.6820,40.6177,0.0000,0.0000
2.7200,54.3485,0.0000,176.8782,40.7525,0.0000,0.0000
2.7300,54.7567,0.0000,178.0773,40.8870,0.0000,0.0000
2.7400,55.1662,0.0000,179.2795,41.0211,0.0000,0.0000
2.7500,55.5771,0.0000,180.4845,41.1550,0.0000,0.0000
2.7600,55.9893,0.0000,181.6925,41.2884,0.0000,0.0000
2.7700,56.4029,0.0000,182.9035,41.4216,0.0000,0.0000
2.7800,56.8177,0.0000,184.1173,41.5544,0.0000,0.0000
2.7900,57.2340,0.0000,185.3340,41.6869,0.0000,0.0000
2.8000,57.6515,0.0000,186.5536,41.8191,0.0000,0.0000
2.8100,58.0703,0.0000,187.7761,41.9509,0.0000,0.0000
2.8200,58.4905,0.0000,189.0015,42.0824,0.0000,0.0000
2.8300,58.9120,0.0000,190.2297,42.2136,0.0000,0.0000
2.8400,59.3348,0.0000,191.4608,42.3444,0.0000,0.0000
2.8500,59.7589,0.0000,192.6946,42.4750,0.0000,0.0000
2.8600,60.1843,0.0000,193.9313,42.6051,0.0000,0.0000
2.8700,60.6110,0.0000,195.1708,42.7350,0.0000,0.0000
2.8800,61.0390,0.0000,196.4130,42.8645,0.0000,0.0000
2.8900,61.4683,0.0000,197.6580,42.9937,0.0000,0.0000
2.9000,61.8988,0.0000,198.9058,43.1225,0.0000,0.0000
2.9100,62.3307,0.0000,200.1564,43.2510,0.0000,0.0000
2.9200,62.7639,0.0000,201.4096,43.3792,0.0000,0.0000
2.9300,63.1983,0.0000,202.6656,43.5070,0.0000,0.0000
2.9400,63.6340,0.0000,203.9243,43.6346,0.0000,0.0000
2.9500,64.0710,0.0000,205.1857,43.7617,0.0000,0.0000
2.9600,64.5092,0.0000,206.4498,43.8886,0.0000,0.0000
2.9700,64.9487,0.0000,207.7166,44.0151,0.0000,0.0000
2.9800,65.3895,0.0000,208.9860,44.1413,0.0000,0.0000
2.9900,65.8316,0.0000,210.2580,44.2671,0.0000,0.0000
3.0000,66.2749,0.0000,211.5327,44.3926,0.0000,0.0000
3.0100,66.7194,0.0000,212.8100,44.5178,0.0000,0.0000
3.0200,67.1652,0.0000,214.0900,44.6426,0.0000,0.0000
3.0300,67.6123,0.0000,215.3725,44.7671,0.0000,0.0000
3.0400,68.0606,0.0000,216.6576,44.8913,0.0000,0.0000
3.0500,68.5101,0.0000,217.9453,45.0152,0.0000,0.0000
3.0600,68.9609,0.0000,219.2355,45.1387,0.0000,0.0000
3.0700,69.4129,0.0000,220.5283,45.2618,0.0000,0.0000
3.0800,69.8661,0.0000,221.8236,45.3847,0.0000,0.0000
3.0900,70.3206,0.0000,223.1215,45.5072,0.0000,0.0000
3.1000,70.7762,0.0000,224.4218,45.6294,0.0000,0.0000
3.1100,71.2332,0.0000,225.7247,45.7512,0.0000,0.0000
3.1200,71.6913,0.0000,227.0301,45.8727,0.0000,0.0000
3.1300,72.1506,0.0000,228.3379,45.9939,0.0000,0.0000
3.1400,72.6111,0.0000,229.6482,46.1147,0.0000,0.0000
3.1500,73.0729,0.0000,230.9609,46.2352,0.0000,0.0000
3.1600,73.5359,0.0000,232.2761,46.3554,0.0000,0.0000
3.1700,74.0000,0.0000,233.5937,46.4753,0.0000,0.0000
3.1800,74.4654,0.0000,234.9137,46.5948,0.0000,0.0000
3.1900,74.9319,0.0000,236.2361,46.7140,0.0000,0.0000
3.2000,75.3996,0.0000,237.5610,46.8328,0.0000,0.0000
3.2100,75.8686,0.0000,238.8881,46.9513,0.0000,0.0000
3.2200,76.3387,0.0000,240.2177,47.0695,0.0000,0.0000
3.2300,76.8099,0.0000,241.5496,47.1874,0.0000,0.0000
3.2400,77.2824,0.0000,242.8839,47.3049,0.0000,0.0000
3.2500,77.7560,0.0000,244.2205,47.4222,0.0000,0.0000
3.2600,78.2308,0.0000,245.5594,47.5390,0.0000,0.0000
3.2700,78.7068,0.0000,246.9007,47.6556,0.0000,0.0000
3.2800,79.1840,0.0000,248.2442,47.7718,0.0000,0.0000
3.2900,79.6623,0.0000,249.5900,47.8877,0.0000,0.0000
3.3000,80.1417,0.0000,250.9381,48.0033,0.0000,0.0000
3.3100,80.6223,0.0000,252.2884,48.1185,0.0000,0.0000
3.3200,81.1041,0.0000,253.6410,48.2334,0.0000,0.0000
3.3300,81.5870,0.0000,254.9959,48.3480,0.0000,0.0000
3.3400,82.0710,0.0000,256.3529,48.4623,0.0000,0.0000
3.3500,82.5562,0.0000,257.7122,48.5762,0.0000,0.0000
3.3600,83.0426,0.0000,259.0737,48.6899,0.0000,0.0000
3.3700,83.5300,0.0000,260.4374,48.8032,0.0000,0.0000
3.3800,84.0186,0.0000,261.8033,48.9161,0.0000,0.0000
3.3900,84.5084,0.0000,263.1713,49.0288,0.0000,0.0000
3.4000,84.9992,0.0000,264.5415,49.1411,0.0000,0.0000
3.4100,85.4912,0.0000,265.9139,49.2531,0.0000,0.0000
3.4200,85.9843,0.0000,267.2884,49.3648,0.0000,0.0000
3.4300,86.4785,0.0000,268.6650,49.4762,0.0000,0.0000
3.4400,86.9738,0.0000,270.0437,49.5872,0.0000,0.0000
3.4500,87.4702,0.0000,271.4246,49.6980,0.0000,0.0000
3.4600,87.9677,0.0000,272.8075,49.8084,0.0000,0.0000
3.4700,88.4664,0.0000,274.1925,49.9185,0.0000,0.0000
3.4800,88.9661,0.0000,275.5796,50.0283,0.0000,0.0000
3.4900,89.4669,0.0000,276.9688,50.1377,0.0000,0.0000
3.5000,89.9689,0.0000,278.3600,50.2469,0.0000,0.0000
3.5100,90.4710,0.0000,279.7507,50.1298,0.0000,0.0000
3.5200,90.9715,0.0000,281.1360,49.9687,0.0000,0.0000
3.5300,91.4704,0.0000,282.5158,49.8088,0.0000,0.0000
3.5400,91.9676,0.0000,283.8903,49.6499,0.0000,0.0000
3.5500,92.4634,0.0000,285.2594,49.4922,0.0000,0.0000
3.5600,92.9575,0.0000,286.6232,49.3357,0.0000,0.0000
3.5700,93.4501,0.0000,287.9817,49.1802,0.0000,0.0000
3.5800,93.9411,0.0000,289.3350,49.0259,0.0000,0.0000
3.5900,94.4306,0.0000,290.6830,48.8726,0.0000,0.0000
3.6000,94.9186,0.0000,292.0259,48.7204,0.0000,0.0000
3.6100,95.4050,0.0000,293.3636,48.5693,0.0000,0.0000
3.6200,95.8900,0.0000,294.6962,48.4192,0.0000,0.0000
3.6300,96.3734,0.0000,296.0237,48.2702,0.0000,0.0000
3.6400,96.8554,0.0000,297.3461,48.1222,0.0000,0.0000
3.6500,97.3358,0.0000,298.6635,47.9753,0.0000,0.0000
3.6600,97.8149,0.0000,299.9759,47.8293,0.0000,0.0000
3.6700,98.2924,0.0000,301.2834,47.6844,0.0000,0.0000
3.6800,98.7686,0.0000,302.5859,47.5404,0.0000,0.0000
3.6900,99.2432,0.0000,303.8835,47.3974,0.0000,0.0000
3.7000,99.7165,0.0000,305.1762,47.2554,0.0000,0.0000
3.7100,100.1884,0.0000,306.4641,47.1144,0.0000,0.0000
3.7200,100.6588,0.0000,307.7472,46.9743,0.0000,0.0000
3.7300,101.1278,0.0000,309.0255,46.8352,0.0000,0.0000
3.7400,101.5955,0.0000,310.2990,46.6970,0.0000,0.0000
3.7500,102.0618,0.0000,311.5679,46.5597,0.0000,0.0000
3.7600,102.5267,0.0000,312.8320,46.4234,0.0000,0.0000
3.7700,102.9903,0.0000,314.0914,46.2879,0.0000,0.0000
3.7800,103.4525,0.0000,315.3462,46.1534,0.0000,0.0000
3.7900,103.9133,0.0000,316.5963,46.0197,0.0000,0.0000
3.8000,104.3729,0.0000,317.8419,45.8869,0.0000,0.0000
3.8100,104.8311,0.0000,319.0829,45.7551,0.0000,0.0000
3.8200,105.2880,0.0000,320.3194,45.6240,0.0000,0.0000
3.8300,105.7436,0.0000,321.5513,45.4938,0.0000,0.0000
3.8400,106.1978,0.0000,322.7788,45.3645,0.0000,0.0000
3.8500,106.6508,0.0000,324.0018,45.2360,0.0000,0.0000
3.8600,107.1026,0.0000,325.2203,45.1084,0.0000,0.0000
3.8700,107.5530,0.0000,326.4345,44.9816,0.0000,0.0000
3.8800,108.0022,0.0000,327.6443,44.8556,0.0000,0.0000
3.8900,108.4501,0.0000,328.8497,44.7304,0.0000,0.0000
3.9000,108.8968,0.0000,330.0507,44.6060,0.0000,0.0000
3.9100,109.3423,0.0000,331.2475,44.4824,0.0000,0.0000
3.9200,109.7865,0.0000,332.4399,44.3596,0.0000,0.0000
3.9300,110.2295,0.0000,333.6281,44.2376,0.0000,0.0000
